Experiment,Dataset,Deviation,Trace Threshold,Anomaly Threshold,Lower Boundary,Cohens Boundary,Model Epsilon,Drift Actual,Drifts detected,at event,at event actual,exe time,cohens score
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,701,0,1.7299859523773193,48.58738283083609
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,702,0,1.7299859523773193,13.368499234914612
1,recurring_100,2.0,0.6,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,703,0,1.7299859523773193,50.390697064627986
1,recurring_100,2.0,0.5,220,0.8,13,0.25,1,DriftType.SUDDEN,661,0,3.7449302673339844,20.639517784740192
1,recurring_100,2.0,0.5,220,0.8,13,0.25,1,DriftType.SUDDEN_RECURRING,964,0,3.7449302673339844,17.765251168317416
1,recurring_100,2.0,0.5,220,0.7,13,0.25,1,DriftType.SUDDEN,623,0,3.3665592670440674,20.585653695061527
1,recurring_100,2.0,0.5,220,0.7,13,0.25,1,DriftType.SUDDEN_RECURRING,928,0,3.3665592670440674,19.59407888744368
1,recurring_100,2.0,0.5,220,0.6,13,0.25,1,DriftType.SUDDEN,565,0,2.7885560989379883,20.6604239527365
1,recurring_100,2.0,0.5,220,0.6,13,0.25,1,DriftType.SUDDEN_RECURRING,885,0,2.7885560989379883,19.396757480826917
1,recurring_100,2.0,0.5,220,0.5,13,0.25,1,DriftType.SUDDEN,526,0,2.655879497528076,20.577046798344337
1,recurring_100,2.0,0.5,220,0.5,13,0.25,1,DriftType.SUDDEN_RECURRING,844,0,2.655879497528076,58.9689189821177
