Experiment,Dataset,Deviation,Trace Threshold,Lower Boundary,Anomaly Threshold,Cohens Boundary,Model Epsilon,Drifts detected,at event,exe time,cohens score
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,586,2.6561150550842285,15.001901592543287
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,600,2.6561150550842285,15.27889770582349
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,601,2.6561150550842285,15.275456948260278
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,617,2.6561150550842285,15.273411949687251
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,618,2.6561150550842285,15.244376111305481
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,627,2.6561150550842285,15.10753839848359
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,628,2.6561150550842285,15.10728855997386
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,635,2.6561150550842285,15.038238629122224
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,636,2.6561150550842285,15.047323358596179
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,646,2.6561150550842285,28.194157272580767
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,647,2.6561150550842285,15.366045768195944
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,657,2.6561150550842285,15.81905233423528
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,658,2.6561150550842285,15.351701434143802
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,672,2.6561150550842285,20.253392632177796
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,673,2.6561150550842285,16.732587429361708
0,recurring_100,2.0,0.1,220,0.1,13,0.2,DriftType.SUDDEN_RECURRING,696,2.6561150550842285,21.580459664855386
